"bin","id","dom_ec","between","rank","power"
16,"OBB",0.100883706849125,10,6,0.899116293150874
16,"POO",0.115527569745402,1.5,7,0.884472430254598
16,"GPG",0.126792394893197,29,8,0.873207605106803
16,"PPP",0.140108367932104,3,9,0.859891632067896
16,"OGO",0.149970038243905,33.5,10,0.850029961756095
17,"GGG",0.0273147383037969,0,1,0.972685261696203
17,"GOP",0.027371927637882,21,2,0.972628072362118
17,"BBO",0.0361653178493264,0,3,0.963834682150674
17,"OOP",0.0373251754212654,44.5,4,0.962674824578735
17,"GPG",0.0385513698332277,17,5,0.961448630166772
17,"PBP",0.0397715843577315,0.833333333333333,6,0.960228415642268
17,"OBB",0.0862697229875702,11.8333333333333,7,0.91373027701243
17,"PPP",0.111853850882102,13.3333333333333,8,0.888146149117898
17,"POO",0.178376069377075,10.6666666666667,9,0.821623930622925
17,"OGO",0.191852337528853,8,10,0.808147662471147
17,"GOO",0.22514790582117,45,11,0.77485209417883
18,"GGG",0.0284999724107664,16,1,0.971500027589234
18,"GOP",0.0297377517296734,0,2,0.970262248270327
18,"PBP",0.0406468977701948,9,3,0.959353102229805
18,"GPG",0.0439548054587549,7,4,0.956045194541245
18,"BBO",0.0510787936034481,17,5,0.948921206396552
18,"OOP",0.0569712995211702,4,6,0.94302870047883
18,"PPP",0.0986298586768703,25,7,0.90137014132313
18,"POO",0.143085192400599,20.5,8,0.856914807599401
18,"OBB",0.154905145065317,0,9,0.845094854934683
18,"OGO",0.174989712888804,58.5,10,0.825010287111196
18,"GOO",0.177500570474402,0,11,0.822499429525598
19,"GOP",0.0351721866277994,0,1,0.964827813372201
19,"GGG",0.0382342741582661,33.5,2,0.961765725841734
19,"PBP",0.0487201885638062,10.5,3,0.951279811436194
19,"BBO",0.054976613704567,25,4,0.945023386295433
19,"GPG",0.0581442631070797,0,5,0.94185573689292
19,"OOP",0.0712531545012879,26,6,0.928746845498712
19,"GOO",0.142419724149596,17,7,0.857580275850404
19,"PPP",0.144785518891624,0,8,0.855214481108376
19,"OBB",0.197896372339795,9,9,0.802103627660205
19,"POO",0.208397703956179,25,10,0.791602296043821
20,"GGG",0.0439619188357454,19.5,1,0.956038081164255
20,"GOP",0.0440466748699434,14,2,0.955953325130057
20,"PBP",0.0547679505750035,8,3,0.945232049424997
20,"OOP",0.0598770534333063,0,4,0.940122946566694
20,"GPG",0.0695490805093733,2,5,0.930450919490627
20,"BBO",0.0720051231493772,25.5,6,0.927994876850623
20,"GOO",0.132466449225402,22,7,0.867533550774598
20,"PPP",0.145083136035248,7,8,0.854916863964752
20,"OBB",0.164053981450449,3,9,0.835946018549551
20,"POO",0.214188631916152,0,10,0.785811368083848
21,"GOP",0.0237259925029437,0,1,0.976274007497056
21,"PBP",0.0345191160113277,18.5,2,0.965480883988672
21,"GPG",0.0366761447569113,16.5,3,0.963323855243089
21,"GGG",0.0376313452936403,51,4,0.96236865470636
21,"BBO",0.0407231599740092,4,5,0.959276840025991
21,"OOP",0.0577211518054689,18.5,6,0.942278848194531
21,"GOO",0.100868575778728,0,7,0.899131424221272
21,"PPP",0.102558297769761,3,8,0.897441702230239
21,"OBB",0.104361592113289,21.5,9,0.895638407886711
21,"POO",0.210171331143582,21.5,10,0.789828668856418
21,"OGO",0.251043292850338,17.5,11,0.748956707149662
22,"GOP",0.0259235775968224,0,1,0.974076422403178
22,"GGG",0.0344813126454897,33.6666666666667,2,0.96551868735451
22,"OOP",0.0368420689122138,2.5,3,0.963157931087786
22,"BBO",0.0449410687233852,25.6666666666667,4,0.955058931276615
22,"PBP",0.0632899917218853,4.5,5,0.936710008278115
22,"GPG",0.0715444144537888,0,6,0.928455585546211
22,"PPP",0.117571017262211,0,7,0.882428982737789
22,"OBB",0.120032713085449,15.6666666666667,8,0.879967286914551
22,"GOO",0.121846456894609,25,9,0.878153543105392
22,"POO",0.15761663215385,27.6666666666667,10,0.84238336784615
22,"OGO",0.205910746550296,20.8333333333333,11,0.794089253449703
23,"BBO",0.0140670621386316,0,1,0.985932937861368
23,"OOP",0.0141554181109013,10,2,0.985844581889099
23,"GPG",0.0155939362752744,2,3,0.984406063724726
23,"PBP",0.0156057534968833,7,4,0.984394246503117
23,"PPP",0.0330131798148027,4,5,0.966986820185197
23,"GOO",0.119402472464869,6,6,0.880597527535131
23,"OGO",0.122386308684966,5,7,0.877613691315034
23,"OBB",0.135863171122653,7,8,0.864136828877347
23,"POO",0.210550070469797,10,9,0.789449929530203
23,"GGG",0.319362627421222,6,10,0.680637372578778
24,"BBO",0.0187365585595231,0,1,0.981263441440477
24,"OOP",0.0189245112703189,22,2,0.981075488729681
24,"PBP",0.0204253208049762,0,3,0.979574679195024
24,"GPG",0.0214709086077413,0,4,0.978529091392259
24,"GGG",0.0358069845530613,0,5,0.964193015446939
24,"PPP",0.0406082291181161,7,6,0.959391770881884
24,"OGO",0.0732164639796748,18,7,0.926783536020325
24,"POO",0.209434887046829,8,8,0.790565112953171
24,"OBB",0.216875513513781,12,9,0.783124486486219
24,"GOO",0.344500622545978,4,10,0.655499377454022
25,"OOP",0.019530484446772,26,1,0.980469515553228
25,"PBP",0.0236945579043007,3,2,0.976305442095699
25,"GPG",0.0249670057571741,0.333333333333333,3,0.975032994242826
25,"OBB",0.0382768439192365,0,4,0.961723156080764
25,"OGO",0.0528957942926578,23.3333333333333,5,0.947104205707342
25,"BBO",0.0648213898993413,11.5,6,0.935178610100659
25,"POO",0.0668874743688696,5.33333333333333,7,0.93311252563113
25,"GGG",0.0794988026196153,10,8,0.920501197380385
25,"PPP",0.118233397406994,11.5,9,0.881766602593006
25,"GOO",0.16943392245501,11,10,0.83056607754499
25,"GOP",0.341760326930028,15.3333333333333,11,0.658239673069972
26,"OOP",0.0307538612120997,25,1,0.9692461387879
26,"BBO",0.0310266621266134,36.5,2,0.968973337873387
26,"GPG",0.0358078158362443,8,3,0.964192184163756
26,"PBP",0.0441485375853389,37.5,4,0.955851462414661
26,"PPP",0.0450072717842866,9,5,0.954992728215713
26,"OBB",0.0473098018486418,0,6,0.952690198151358
26,"GGG",0.0512549074960348,0,7,0.948745092503965
26,"POO",0.0891127437595445,6.5,8,0.910887256240456
26,"GOO",0.173096154728145,40,9,0.826903845271855
26,"OGO",0.206887158106621,44,10,0.793112841893379
26,"GOP",0.245595085516431,1.5,11,0.754404914483569
27,"BBO",0.0310056660076952,0,1,0.968994333992305
27,"OOP",0.0351568648694837,13,2,0.964843135130516
27,"PBP",0.0389895944984759,7,3,0.961010405501524
27,"GPG",0.044346135611884,18,4,0.955653864388116
27,"OBB",0.0511257148880564,17.3333333333333,5,0.948874285111944
27,"POO",0.0627132128039878,3.33333333333333,6,0.937286787196012
27,"GGG",0.0635996296832496,0,7,0.93640037031675
27,"PPP",0.0910021893048401,25,8,0.90899781069516
27,"OGO",0.167231885230085,55.6666666666667,9,0.832768114769915
27,"GOP",0.196204368633515,16,10,0.803795631366485
27,"GOO",0.218624738468727,0,11,0.781375261531273
28,"OOP",0.0391904854574198,2.5,1,0.96080951454258
28,"BBO",0.0398633751714876,4.5,2,0.960136624828512
28,"PBP",0.0462208667049911,10,3,0.953779133295009
28,"GPG",0.0496549647705491,10.5,4,0.950345035229451
28,"OBB",0.0634481699115673,0,5,0.936551830088433
28,"POO",0.0711602219963323,7.16666666666667,6,0.928839778003668
28,"PPP",0.0733978068707455,3,7,0.926602193129255
28,"OGO",0.123372729365741,18.1666666666667,8,0.876627270634259
28,"GGG",0.129246070668744,4,9,0.870753929331256
28,"GOP",0.181895080436139,18.3333333333333,10,0.818104919563861
28,"GOO",0.182550228646283,0,11,0.817449771353717
29,"PBP",0.0286938010545848,9,1,0.971306198945415
29,"GPG",0.0299333872515723,5.83333333333333,2,0.970066612748428
29,"OOP",0.0358247094019564,20.5,3,0.964175290598044
29,"GGG",0.0428326491754555,12,4,0.957167350824545
