"actor","subject","actor_2","subject_2","rule_type","rule_time","date_period","Group"
"OOP","POO","PBO","POO","Pile-on",4,"2021-05-17 1","1"
"PBO","POO","OOO","POO","Pile-on",2,"2021-05-17 1","1"
"POO","BOB","GPG","BOB","Pile-on",73,"2021-05-17 1","1"
"GOO","GOP","BBB","GOP","Pile-on",13,"2021-05-17 1","1"
"OGO","POO","GOO","POO","Pile-on",1,"2021-05-17 1","1"
"OGO","BOB","GPG","BOB","Pile-on",33,"2021-05-17 1","1"
"OBB","POO","PBO","POO","Pile-on",13,"2021-05-17 1","1"
"PBO","POO","OBB","POO","Pile-on",18,"2021-05-17 1","1"
"GOP","OOP","POP","OOP","Pile-on",6,"2021-05-17 1","1"
"BBB","OOP","PBB","OOP","Pile-on",30,"2021-05-17 1","1"
"POO","OOO","OPP","OOO","Pile-on",9,"2021-05-17 1","1"
"BOB","PBB","OPP","PBB","Pile-on",14,"2021-05-17 1","1"
"OBB","PPP","OPP","PPP","Pile-on",420,"2021-05-17 1","1"
"OPP","PGG","OGO","PGG","Pile-on",74,"2021-05-17 1","1"
"OBB","POO","OGO","POO","Pile-on",11,"2021-05-17 1","1"
"OGO","POO","POP","POO","Pile-on",35,"2021-05-17 1","1"
"PPO","OOP","PGG","OOP","Pile-on",3,"2021-05-17 1","1"
"BBB","GOP","POP","GOP","Pile-on",2,"2021-05-17 1","1"
"GGO","BOB","POO","BOB","Pile-on",15,"2021-05-17 1","1"
"GOP","OBB","POP","OBB","Pile-on",27,"2021-05-17 1","1"
"BBB","PPO","OGO","PPO","Pile-on",6,"2021-05-17 1","1"
"GPG","OPP","BBB","OPP","Pile-on",5,"2021-05-17 1","1"
"OGO","PGG","OBB","PGG","Pile-on",3,"2021-05-17 1","1"
"BBB","GGO","OOO","GGO","Pile-on",21,"2021-05-17 1","1"
"OOO","GGO","PBB","GGO","Pile-on",10,"2021-05-17 1","1"
"OGO","BOB","POO","BOB","Pile-on",50,"2021-05-17 1","1"
"PPP","BOB","GOP","BOB","Pile-on",11,"2021-05-17 1","1"
"OPP","GOP","PPP","GOP","Pile-on",73,"2021-05-17 1","1"
"POP","POO","OOP","POO","Pile-on",25,"2021-05-17 1","1"
"PBB","GOP","OOO","GOP","Pile-on",7,"2021-05-17 1","1"
"GOP","BOB","POO","BOB","Pile-on",27,"2021-05-17 1","1"
"OOP","POO","GPG","POO","Pile-on",130,"2021-05-17 1","1"
"POO","PGG","PBB","PGG","Pile-on",47,"2021-05-17 1","1"
