"actor_2","count","Group","groupid","rule"
"PGG",0,"Opportunism Group 2","Group 2","Opportunism"
"GOO",17,"Opportunism Group 3","Group 3","Opportunism"
"OBB",1,"Opportunism Group 3","Group 3","Opportunism"
"OGO",2,"Opportunism Group 3","Group 3","Opportunism"
"PBP",8,"Opportunism Group 3","Group 3","Opportunism"
"POO",1,"Opportunism Group 3","Group 3","Opportunism"
"BBO",0,"Opportunism Group 3","Group 3","Opportunism"
"GGG",0,"Opportunism Group 3","Group 3","Opportunism"
"GOP",0,"Opportunism Group 3","Group 3","Opportunism"
"GPG",0,"Opportunism Group 3","Group 3","Opportunism"
"PPP",0,"Opportunism Group 3","Group 3","Opportunism"
"BBB",45,"Punishment Group 1","Group 1","Punishment"
"BOB",5,"Punishment Group 1","Group 1","Punishment"
"GGO",6,"Punishment Group 1","Group 1","Punishment"
"GOO",9,"Punishment Group 1","Group 1","Punishment"
"GOP",9,"Punishment Group 1","Group 1","Punishment"
"GPG",23,"Punishment Group 1","Group 1","Punishment"
"OBB",8,"Punishment Group 1","Group 1","Punishment"
"OGO",11,"Punishment Group 1","Group 1","Punishment"
"OOO",5,"Punishment Group 1","Group 1","Punishment"
"OPP",2,"Punishment Group 1","Group 1","Punishment"
"PBB",8,"Punishment Group 1","Group 1","Punishment"
"PBO",1,"Punishment Group 1","Group 1","Punishment"
"POO",17,"Punishment Group 1","Group 1","Punishment"
"POP",19,"Punishment Group 1","Group 1","Punishment"
"GGG",0,"Punishment Group 1","Group 1","Punishment"
"OOP",0,"Punishment Group 1","Group 1","Punishment"
"PGG",0,"Punishment Group 1","Group 1","Punishment"
"PPO",0,"Punishment Group 1","Group 1","Punishment"
"PPP",0,"Punishment Group 1","Group 1","Punishment"
"BBB",4,"Punishment Group 2","Group 2","Punishment"
"BOB",2,"Punishment Group 2","Group 2","Punishment"
"GPO",4,"Punishment Group 2","Group 2","Punishment"
"OPO",5,"Punishment Group 2","Group 2","Punishment"
